Country,Happiness Low Tolerance,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year
Palestinian Territories,4.668151848,0.7162492275,1.155647159,0.5656669736,0.2547110617,0.08928260207,0.1141731739,1.878890276,2017
Egypt,4.644866477,0.9897018075,0.9974713922,0.5201872587,0.2821101546,0.1143813655,0.1286314428,1.702161074,2017
Bulgaria,4.624305744,1.161459088,1.434379458,0.7082176805,0.2892317176,0.01105153095,0.1131776944,0.9961392879,2017
Sierra Leone,4.567356886,0.3684209287,0.984136045,0.005564753897,0.318697691,0.07109517604,0.2930409014,2.668459892,2017
Cameroon,4.593459486,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.05130663142,0.2362984568,2.333645582,2017
Iran,4.585775117,1.156873107,0.711551249,0.6393331885,0.2493226081,0.0487610735,0.3872429132,1.498734951,2017
Albania,4.5355361,0.9961927533,0.8036852479,0.7311597466,0.3814986348,0.039864216,0.2013129443,1.490441561,2017
Bangladesh,4.526177945,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1237178594,0.1722553521,1.978736162,2017
Namibia,4.377645023,0.9644343257,1.098470807,0.3386118114,0.5203035474,0.09314697236,0.07713374496,1.481890202,2017
Kenya,4.450308356,0.5604794621,1.067950726,0.3099883497,0.4527637661,0.06464131922,0.4448603094,1.651902199,2017
Mozambique,4.325898055,0.23430565,0.870701015,0.1066544354,0.4807910919,0.1794363856,0.3222281039,2.355650902,2017
Myanmar,4.475260206,0.3671105504,1.123235941,0.3975225687,0.5144920349,0.1888162047,0.838075161,1.115290403,2017
Senegal,4.468395914,0.4793090224,1.179691911,0.4093628526,0.3779222667,0.115460448,0.1834688932,1.789646149,2017
Zambia,4.383894376,0.6364067793,1.003187299,0.2578358948,0.4616034925,0.07821355015,0.2495801449,1.826705456,2017
Iraq,4.371409025,1.102710485,0.9786131978,0.50118047,0.2885555327,0.1072157547,0.199637264,1.318907261,2017
Gabon,4.37263854,1.198210239,1.155620217,0.3565785885,0.312328577,0.0760467872,0.04378537834,1.322916269,2017
Ethiopia,4.3772714,0.3392338455,0.8646692038,0.3534097075,0.4088427424,0.1654557139,0.3126507401,2.015743732,2017
Sri Lanka,4.326552922,1.009850144,1.259976387,0.6251308322,0.5612132549,0.07365396619,0.4908635616,0.4193892479,2017
Armenia,4.285265243,0.9005967379,1.007483721,0.637524426,0.1983032674,0.0266744215,0.08348809183,1.521499157,2017
India,4.258478097,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.09222688526,0.2315384895,1.519117117,2017
Mauritania,4.206836018,0.6484572887,1.27203083,0.2853492796,0.09609804302,0.1369570047,0.2018700242,1.651637316,2017
Congo (Brazzaville),4.171946274,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.0796181336,0.1208521277,1.724135637,2017
Georgia,4.197065584,0.9506126642,0.570614934,0.6495469809,0.3094100356,0.2516666353,0.05400881544,1.500137806,2017
Congo (Kinshasa),4.202189587,0.0921023488,1.229023457,0.1914070249,0.2359613478,0.06024135649,0.2464558333,2.224958658,2017
Mali,4.110329403,0.4761804938,1.281473398,0.1693656743,0.3066137433,0.1049702466,0.1833541989,1.668190956,2017
Ivory Coast,4.084817093,0.6030489206,0.9047800303,0.04864216968,0.4477061927,0.1300617754,0.2012374699,1.844964266,2017
Cambodia,4.057482629,0.6017650962,1.006238341,0.4297834039,0.6333758235,0.06810595095,0.3859229684,1.042941093,2017
Sudan,3.932252713,0.6595166922,1.21400857,0.2909208238,0.01499585528,0.08984751999,0.1823174506,1.68706584,2017
Ghana,4.017292563,0.6672248244,0.8736647367,0.2956377268,0.4230262935,0.02533636987,0.2569239438,1.577867508,2017
Ukraine,4.006590285,0.8946519494,1.394537568,0.5759039521,0.1229747757,0.02302947082,0.2700614631,0.8143823147,2017
Uganda,3.966199735,0.3814307153,1.129827738,0.2176326066,0.4431859553,0.05706971884,0.3257660568,1.526362658,2017
Burkina Faso,3.939941065,0.3502277136,1.043280005,0.2158442587,0.324367851,0.120328106,0.2508646846,1.727212906,2017
Niger,3.944052936,0.1619253308,0.9930250049,0.268505007,0.3636586964,0.1385729462,0.2286738455,1.873983383,2017
Malawi,3.86252124,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.07271165401,0.2871704698,2.081786156,2017
Chad,3.837288693,0.4380129874,0.9538558722,0.04113471508,0.1623420268,0.05358188227,0.2161138505,2.071238041,2017
Zimbabwe,3.771300357,0.375846535,1.083095908,0.1967637539,0.336384207,0.09537538141,0.1891434938,1.597970247,2017
Lesotho,3.5716562,0.5210212469,1.190095186,0,0.3906612992,0.11909464,0.1574972719,1.42983532,2017
Angola,3.638358217,0.8584281802,1.10441196,0.04986866564,0,0.0697203353,0.09792649001,1.614482403,2017
Afghanistan,3.714338405,0.4014772177,0.5815433264,0.1807467788,0.1061795205,0.06115783006,0.3118709326,2.150801182,2017
Botswana,3.657877399,1.122094154,1.221554995,0.3417555094,0.5051963329,0.09858319908,0.09934844822,0.3779137135,2017
Benin,3.568216578,0.4310854077,0.4352998435,0.2099302113,0.4259627759,0.06092901528,0.2079484612,1.885630965,2017
Madagascar,3.573681001,0.3058086932,0.9130203724,0.3752233088,0.1891967654,0.0672319755,0.2087325305,1.584612608,2017
Haiti,3.471285053,0.3686102629,0.6404498219,0.27732113,0.03036985733,0.09987214953,0.4892037809,1.697167635,2017
Yemen,3.49324955,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.05676742271,0.1041252092,1.345600605,2017
South Sudan,3.456461574,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.1167935133,0.2856708169,1.879567385,2017
Liberia,3.412243724,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.03894824907,0.2665498853,1.673285961,2017
Guinea,3.42957181,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.1109376177,0.2648150921,1.552311897,2017
Togo,3.395961659,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.09566501528,0.1968961507,1.837229252,2017
Rwanda,3.398969679,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.4552200139,0.2527560294,0.5400612354,2017
Syria,3.26033123,0.7771531343,0.3961026073,0.5005333424,0.08153944463,0.1513471305,0.4936637282,1.061573505,2017
Tanzania,3.236570199,0.5111358762,1.041989803,0.3645092845,0.3900177777,0.06603510678,0.3542563617,0.6211304665,2017
Burundi,2.73530961,0.09162256867,0.6297935843,0.1516107917,0.0599007532,0.08414794505,0.2044351846,1.683024168,2017
Central African Republic,2.521115887,0,0,0.0187726859,0.2708420455,0.05656507611,0.2808764875,2.066004753,2017
Denmark,7.592,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,2016
Switzerland,7.59,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016
Iceland,7.669,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,2016
Norway,7.575,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,2016
Finland,7.475,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,2016
Canada,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,2016
Netherlands,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,2016
New Zealand,7.404,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,2016
Australia,7.385,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,2016
Sweden,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016
Israel,7.335,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,2016
Austria,7.193,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,2016
United States,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,2016
Costa Rica,7.175,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,2016
Puerto Rico,7.284,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,2016
Germany,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,2016
Brazil,7.029,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,2016
Belgium,6.997,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,2016
Ireland,6.978,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,2016
Luxembourg,6.938,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,2016
Mexico,6.876,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,2016
Singapore,6.804,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,2016
United Kingdom,6.803,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,2016
Chile,6.795,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,2016
Panama,6.801,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,2016
Argentina,6.74,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,2016
Czech Republic,6.677,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,2016
United Arab Emirates,6.652,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,2016
Uruguay,6.634,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,2016
Malta,6.567,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,2016
Colombia,6.578,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,2016
France,6.559,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,2016
Thailand,6.552,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,2016
Saudi Arabia,6.471,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,2016
Taiwan,6.453,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,2016
Qatar,6.572,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,2016
Spain,6.434,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,2016
Algeria,6.483,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,2016
Guatemala,6.435,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,2016
Suriname,6.465,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,2016
Kuwait,6.324,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,2016
Bahrain,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,2016
Trinidad and Tobago,6.386,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,2016
Venezuela,6.195,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,2016
Slovakia,6.16,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,2016
El Salvador,6.169,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,2016
Malaysia,6.089,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,2016
Nicaragua,6.107,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,2016
Uzbekistan,6.078,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,2016
Italy,6.056,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,2016
Ecuador,6.072,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,2016
Belize,6.202,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,2016
Japan,5.992,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,2016
Kazakhstan,6.001,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,2016
Moldova,5.971,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,2016
Russia,5.923,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,2016
Poland,5.921,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,2016
South Korea,5.923,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,2016
Bolivia,5.904,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,2016
Lithuania,5.892,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,2016
Belarus,5.881,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,2016
North Cyprus,5.872,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,2016
Slovenia,5.853,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,2016
Peru,5.839,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,2016
Turkmenistan,5.736,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,2016
Mauritius,5.789,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,2016
Libya,5.824,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,2016
Latvia,5.634,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,2016
Cyprus,5.65,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,2016
Paraguay,5.623,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,2016
Romania,5.629,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,2016
Estonia,5.597,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,2016
Jamaica,5.705,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,2016
Croatia,5.574,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,2016
Hong Kong,5.554,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,2016
Somalia,5.559,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,2016
Kosovo,5.494,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,2016
Turkey,5.483,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,2016
Indonesia,5.391,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,2016
Jordan,5.419,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2016
Azerbaijan,5.356,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,2016
Philippines,5.398,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,2016
China,5.291,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,2016
Bhutan,5.254,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,2016
Kyrgyzstan,5.267,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,2016
Serbia,5.271,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,2016
Bosnia and Herzegovina,5.263,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,2016
Montenegro,5.267,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,2016
Dominican Republic,5.273,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,2016
Morocco,5.244,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,2016
Hungary,5.234,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,2016
Pakistan,5.226,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,2016
Lebanon,5.227,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,2016
Portugal,5.216,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,2016
Macedonia,5.225,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,2016
Vietnam,5.131,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,2016
Somaliland Region,5.18,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,2016
Tunisia,5.125,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,2016
Greece,5.131,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944,2016
Tajikistan,5.069,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,2016
Mongolia,4.976,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,2016
Laos,5.01,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,2016
Nigeria,5,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,2016
Honduras,4.992,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,2016
Iran,4.923,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,2016
Zambia,4.945,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,2016
Nepal,4.888,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,2016
Palestinian Territories,4.859,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2.40364,2016
Albania,4.764,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,2016
Bangladesh,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,2016
Sierra Leone,4.765,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,2016
Iraq,4.704,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,2016
Namibia,4.774,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,2016
Cameroon,4.609,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,2016
Ethiopia,4.591,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,2016
South Africa,4.547,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,2016
Sri Lanka,4.508,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,2016
India,4.457,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,2016
Myanmar,4.463,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,2016
Egypt,4.465,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,2016
Armenia,4.454,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,2016
Kenya,4.453,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,2016
Ukraine,4.412,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,2016
Ghana,4.367,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,2016
Congo (Kinshasa),4.353,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,2016
Georgia,4.34,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,2016
Congo (Brazzaville),4.365,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,2016
Senegal,4.287,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,2016
Bulgaria,4.33,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,2016
Mauritania,4.275,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,2016
Zimbabwe,4.285,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,2016
Malawi,4.271,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,2016
Sudan,4.35,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,2016
Gabon,4.212,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,2016
Mali,4.158,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,2016
Haiti,4.163,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,2016
Botswana,4.073,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,2016
Comoros,4.052,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,2016
Ivory Coast,4.006,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,2016
Cambodia,4.016,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,2016
Angola,3.979,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,2016
Niger,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,2016
South Sudan,4.068,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,2016
Chad,3.854,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,2016
Burkina Faso,3.831,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,2016
Uganda,3.849,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,2016
Yemen,3.827,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,2016
Madagascar,3.769,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,2016
Tanzania,3.771,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,2016
Liberia,3.781,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,2016
Guinea,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,2016
Rwanda,3.586,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,2016
Benin,3.564,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,2016
Afghanistan,3.432,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,2016
Togo,3.414,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,2016
Syria,3.202,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,2016
Burundi,3.078,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,2016
