Country,Region,Happiness Rank,Happiness Score,Happiness High Tolerance,,,,,,,,,
Nepal,Southern Asia,107,4.793,4.698,,,,,,,,,
Palestinian Territories,Middle East and Northern Africa,108,4.754,4.649,,,,,,,,,
Albania,Central and Eastern Europe,109,4.655,4.546,,,,,,,,,
Bangladesh,Southern Asia,110,4.643,4.56,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,111,4.635,4.505,,,,,,,,,
Iraq,Middle East and Northern Africa,112,4.575,4.446,,,,,,,,,
Namibia,Sub-Saharan Africa,113,4.574,4.374,,,,,,,,,
Cameroon,Sub-Saharan Africa,114,4.513,4.417,,,,,,,,,
Ethiopia,Sub-Saharan Africa,115,4.508,4.425,,,,,,,,,
South Africa,Sub-Saharan Africa,116,4.459,4.371,,,,,,,,,
Sri Lanka,Southern Asia,117,4.415,4.322,,,,,,,,,
India,Southern Asia,118,4.404,4.351,,,,,,,,,
Myanmar,Southeastern Asia,119,4.395,4.327,,,,,,,,,
Egypt,Middle East and Northern Africa,120,4.362,4.259,,,,,,,,,
Armenia,Central and Eastern Europe,121,4.36,4.266,,,,,,,,,
Kenya,Sub-Saharan Africa,122,4.356,4.259,,,,,,,,,
Ukraine,Central and Eastern Europe,123,4.324,4.236,,,,,,,,,
Ghana,Sub-Saharan Africa,124,4.276,4.185,,,,,,,,,
Congo (Kinshasa),Sub-Saharan Africa,125,4.272,4.191,,,,,,,,,
Georgia,Central and Eastern Europe,126,4.252,4.164,,,,,,,,,
Congo (Brazzaville),Sub-Saharan Africa,127,4.236,4.107,,,,,,,,,
Senegal,Sub-Saharan Africa,128,4.219,4.151,,,,,,,,,
Bulgaria,Central and Eastern Europe,129,4.217,4.104,,,,,,,,,
Mauritania,Sub-Saharan Africa,130,4.201,4.127,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,131,4.193,4.101,,,,,,,,,
Malawi,Sub-Saharan Africa,132,4.156,4.041,,,,,,,,,
Sudan,Sub-Saharan Africa,133,4.139,3.928,,,,,,,,,
Gabon,Sub-Saharan Africa,134,4.121,4.03,,,,,,,,,
Mali,Sub-Saharan Africa,135,4.073,3.988,,,,,,,,,
Haiti,Latin America and Caribbean,136,4.028,3.893,,,,,,,,,
Botswana,Sub-Saharan Africa,137,3.974,3.875,,,,,,,,,
Comoros,Sub-Saharan Africa,138,3.956,3.86,,,,,,,,,
Ivory Coast,Sub-Saharan Africa,139,3.916,3.826,,,,,,,,,
Cambodia,Southeastern Asia,140,3.907,3.798,,,,,,,,,
Angola,Sub-Saharan Africa,141,3.866,3.753,,,,,,,,,
Niger,Sub-Saharan Africa,142,3.856,3.781,,,,,,,,,
South Sudan,Sub-Saharan Africa,143,3.832,3.596,,,,,,,,,
Chad,Sub-Saharan Africa,144,3.763,3.672,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,145,3.739,3.647,,,,,,,,,
Uganda,Sub-Saharan Africa,145,3.739,3.629,,,,,,,,,
Yemen,Middle East and Northern Africa,147,3.724,3.621,,,,,,,,,
Madagascar,Sub-Saharan Africa,148,3.695,3.621,,,,,,,,,
Tanzania,Sub-Saharan Africa,149,3.666,3.561,,,,,,,,,
Liberia,Sub-Saharan Africa,150,3.622,3.463,,,,,,,,,
Guinea,Sub-Saharan Africa,151,3.607,3.533,,,,,,,,,
Rwanda,Sub-Saharan Africa,152,3.515,3.444,,,,,,,,,
Benin,Sub-Saharan Africa,153,3.484,3.404,,,,,,,,,
Afghanistan,Southern Asia,154,3.36,3.288,,,,,,,,,
Togo,Sub-Saharan Africa,155,3.303,3.192,,,,,,,,,
Syria,Middle East and Northern Africa,156,3.069,2.936,,,,,,,,,
Burundi,Sub-Saharan Africa,157,2.905,2.732,,,,,,,,,
